STATE|STATEFP|COUNTYFP|COUNTYNAME|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT
KS|20|001|Allen County|04450|02394075|Bassett city|INCORPORATED PLACE|C1|A
KS|20|001|Allen County|20875|02394679|Elsmore city|INCORPORATED PLACE|C1|A
KS|20|001|Allen County|25975|02394865|Gas city|INCORPORATED PLACE|C1|A
KS|20|001|Allen County|33450|00485596|Humboldt city|INCORPORATED PLACE|C5|A
KS|20|001|Allen County|34300|00485599|Iola city|INCORPORATED PLACE|C5|A
KS|20|001|Allen County|37725|00485604|La Harpe city|INCORPORATED PLACE|C5|A
KS|20|001|Allen County|46500|02804709|Mildred CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|001|Allen County|48125|02395397|Moran city|INCORPORATED PLACE|C1|A
KS|20|001|Allen County|63200|02396546|Savonburg city|INCORPORATED PLACE|C1|A
KS|20|003|Anderson County|14950|02393603|Colony city|INCORPORATED PLACE|C1|A
KS|20|003|Anderson County|25925|00485581|Garnett city|INCORPORATED PLACE|C5|A
KS|20|003|Anderson County|28350|02394972|Greeley city|INCORPORATED PLACE|C1|A
KS|20|003|Anderson County|30250|02629159|Harris CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|003|Anderson County|36875|02395535|Kincaid city|INCORPORATED PLACE|C1|A
KS|20|003|Anderson County|42425|02395749|Lone Elm city|INCORPORATED PLACE|C1|A
KS|20|003|Anderson County|47975|02804476|Mont Ida CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|003|Anderson County|76425|02629185|Welda CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|003|Anderson County|77250|02397285|Westphalia city|INCORPORATED PLACE|C1|A
KS|20|005|Atchison County|02900|00485542|Atchison city|INCORPORATED PLACE|C5|A
KS|20|005|Atchison County|20025|02394629|Effingham city|INCORPORATED PLACE|C1|A
KS|20|005|Atchison County|33575|02394458|Huron city|INCORPORATED PLACE|C1|A
KS|20|005|Atchison County|38325|02395625|Lancaster city|INCORPORATED PLACE|C1|A
KS|20|005|Atchison County|49325|02395144|Muscotah city|INCORPORATED PLACE|C1|A
KS|20|007|Barber County|30000|02394296|Hardtner city|INCORPORATED PLACE|C1|A
KS|20|007|Barber County|31150|02394340|Hazelton city|INCORPORATED PLACE|C1|A
KS|20|007|Barber County|34550|02395442|Isabel city|INCORPORATED PLACE|C1|A
KS|20|007|Barber County|37125|02395545|Kiowa city|INCORPORATED PLACE|C1|A
KS|20|007|Barber County|37875|02804478|Lake City CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|007|Barber County|45500|02395083|Medicine Lodge city|INCORPORATED PLACE|C1|A
KS|20|007|Barber County|64325|02395857|Sharon city|INCORPORATED PLACE|C1|A
KS|20|007|Barber County|69275|02396004|Sun City city|INCORPORATED PLACE|C1|A
KS|20|009|Barton County|00825|02393900|Albert city|INCORPORATED PLACE|C1|A
KS|20|009|Barton County|04950|02804480|Beaver CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|009|Barton County|13425|02393529|Claflin city|INCORPORATED PLACE|C1|A
KS|20|009|Barton County|20425|00485568|Ellinwood city|INCORPORATED PLACE|C5|A
KS|20|009|Barton County|25050|02394839|Galatia city|INCORPORATED PLACE|C1|A
KS|20|009|Barton County|28300|00485584|Great Bend city|INCORPORATED PLACE|C5|A
KS|20|009|Barton County|32550|00485593|Hoisington city|INCORPORATED PLACE|C5|A
KS|20|009|Barton County|52175|02629167|Odin CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|009|Barton County|52750|02396059|Olmitz city|INCORPORATED PLACE|C1|A
KS|20|009|Barton County|54875|02396165|Pawnee Rock city|INCORPORATED PLACE|C1|A
KS|20|009|Barton County|69525|02396010|Susank city|INCORPORATED PLACE|C1|A
