Kansas City,Lawrence,Manhattan,Topeka,Wichita
"10 Terrace, South   66103","100 Road, East   66046","10th Court, North   66502","10th Avenue, Southeast   66607","103rd Street W, North   67205"
"100 Terrace, North   66109","1000 Road, East   66044","10th Street, North   66502","10th Avenue, Southwest   66604","103rd Street W, South   67215"
100th Street   66109,"1000 Road, East   66047","10th Street, South   66502","10th Avenue, Southwest   66606","107th Street E, South   67210"
100th Street   66111,"1000 Road, East   66049","1140 Road, North   66502","10th Avenue, Southwest   66612","107th Street W, South   67209"
"100th Street, North   66109","1000 Road, North   66046","11th Street, North   66502","10th Avenue, Southwest   66615","10th Circle N, East   67206"
"100th Street, North   66109","1000 Road, North   66047","11th Street, South   66502","10th Street, Southeast   66607","10th Circle, East   67206"
"100th Street, South   66111",1000E   66047,1200 Road N   66503,"10th Street, Southwest   66604","10th Ct N, West   67235"
"100th Street, South   66111","1025 Road, East   66049","12th Street, North   66502","10th Street, Southwest   66606","10th Street Circle N, East   67206"
"100th Terrace, North   66109","1029 Road, East   66049","12th Street, South   66502","10th Street, Southwest   66612",10th Street Court   67212
"101 Terrace, North   66109","1031 Road, North   66046","14th Street, North   66502","10th Street, Southwest   66615","10th Street N, East   67206"
"101 Terrace, South   66111","1032 Road, North   66047","14th Street, South   66502","10th Terrace, Southwest   66604","10th Street N, East   67208"
"101st Street, North   66109","1032nd Road, North   66047","15th Street, North   66502","11th Court, Southeast   66607","10th Street N, East   67214"
101st Terrace   66111,"1043 Road, East   66049","15th Street, South   66502","11th Street, Southeast   66607","10th Street N, West   67203"
"101st Terrace, North   66109","1043rd Road, East   66049","16th Street, North   66502","11th Street, Southeast   66612","10th Street N, West   67212"
"101st Terrace, South   66111","1048 Road, East   66047","16th Street, South   66502","11th Street, Southwest   66604","10th Street, East   67230"
"101st Terrace, West   66109","1050 Road, East   66047","17th Street, North   66502","11th Street, Southwest   66612","111th Street E, North   67206"
"102 Terrace, North   66109","1050 Road, North   66046","17th Street, North   66506","11th Street, Southwest   66615","111th Street E, North   67226"
"102 Terrace, South   66111","1050 Road, North   66047","17th Street, South   66502","11th Terrace, Southeast   66607","111th Street E, North   67228"
"102nd Street, North   66109","1056 Road, North   66046","18th Street, North   66502","11th Terrace, Southwest   66604","111th Street E, South   67210"
"102nd Street, North   66109","1060 Road, North   66046","18th Street, South   66502","12th Court, Southeast   66607","111th Street W, South   67209"
"102nd Street, North   66111","1062 Road, North   66046","20th Street, South   66502","12th Street, Southeast   66607","119th Ct W, North   67235"
"102nd Street, South   66111","1062nd Road, North   66046",2400 Road S   66502,"12th Street, Southeast   66612","119th Street W, North   67205"
"102nd Terrace, North   66109","1066 Road, North   66047","24th Street, South   66502","12th Street, Southwest   66604","119th Street W, North   67223"
"102nd Terrace, South   66111","1067 Road, East   66047","24th Street, South   66503","12th Street, Southwest   66612","119th Street W, North   67235"
"103rd Court, North   66109","1068 Road, East   66049","26th Avenue, East   66502","12th Street, Southwest   66615","119th Street W, South   67209"
"103rd Place, North   66109","1072 Road, North   66047","32nd Avenue, West   66502","12th Terrace, Southwest   66604","119th Street W, South   67215"
103rd Street   66109,"1072nd Road, North   66047","32nd Street, South   66502","13th Court, Southwest   66604","119th Street W, South   67235"
"103rd Street, North   66109","1075 Road, North   66047","33rd Street, South   66502",13th Street   66617,11th Street Court   67212
"103rd Street, North   66109","1082 Road, East   66049",3rd Place   66502,"13th Street, Northwest   66615","11th Street N, East   67206"
"103rd Street, South   66111","1082 Road, North   66046","3rd Street, North   66502","13th Street, Northwest   66618","11th Street N, East   67208"
"103rd Terrace, North   66109","1082nd Road, East   66049","3rd Street, South   66502","13th Street, Southeast   66607","11th Street N, East   67214"
"104 Terrace, North   66109","1082nd Road, North   66046","40th Avenue, West   66502","13th Street, Southeast   66612","11th Street N, West   67203"
"104th Street, South   66111","1087 Road, East   66047","48th Street, North   66503","13th Street, Southwest   66604","11th Street N, West   67212"
"104th Terrace, North   66109","1094 Road, East   66047","4th Street, North   66502","13th Street, Southwest   66612","123rd Street E, North   67226"
"104th Terrace, South   66111","10th Circle, West   66049","4th Street, South   66502","13th Street, Southwest   66615","123rd Street E, South   67207"
"105 Court, South   66111","10th Place, West   66049",5200 Road W   66503,"14th Street, Northwest   66618","124th Ct W, North   67223"
"105 Terrace, South   66111","10th Street, East   66044","52nd Avenue, West   66502","14th Street, Southeast   66607","124th Street W, North   67223"
105th Street   66111,"10th Street, West   66044","52nd Street, North   66503","14th Street, Southeast   66612","125th Street E, South   67207"
105th Street Court   66111,"10th Street, West   66049","52nd Street, South   66502","14th Street, Southwest   66604","127th Ct E, North   67230"
"105th Street, North   66109","10th Terrace, West   66049","54th Avenue, West   66503","14th Street, Southwest   66612","127th Street E, North   67206"
"105th Street, South   66111","1100 Road, East   66047",5600 Road N   66503,"15th Court, Southwest   66604","127th Street E, North   67226"
"105th Street, South   66111","1100 Road, East   66049","56th Avenue, West   66502","15th Street, Northwest   66615","127th Street E, South   67207"
"105th Terrace, South   66111","1100 Road, North   66046","59th Avenue, West   66503","15th Street, Northwest   66618","127th Street E, South   67210"
"106th Street, North   66109","1100 Road, North   66047","5th Street, North   66502","15th Street, Southeast   66607","127th Street E, South   67230"
"106th Street, North   66109","1108 Road, North   66047","5th Street, South   66502","15th Street, Southeast   66612","12th Street N, East   67206"
"106th Street, South   66111","1112 Road, North   66046",6000 Road W   66503,"15th Street, Southwest   66604","12th Street N, East   67208"
"106th Terrace, North   66109","1116 Road, North   66047","60th Avenue, West   66503","15th Street, Southwest   66612","12th Street N, East   67214"
"107 Terrace, North   66109","1117 Road, East   66049","61st Avenue, West   66502","15th Terrace, Southwest   66604","12th Street N, West   67203"
"107th Street, North   66109","1122 Road, North   66046","62nd Avenue, West   66503","16th Street, Northwest   66618","12th Street N, West   67212"
"107th Terrace, North   66109","1122nd Road, North   66046","63rd Avenue, West   66503","16th Street, Southeast   66607",131st E   67228
"108th Court, North   66109","1125 Road, East   66049",6400 Road E   66502,"16th Street, Southwest   66604","135th Street W, North   67223"
"108th Street, North   66109","1130 Road, East   66049","68th Avenue, West   66503","16th Street, Southwest   66612","135th Street W, North   67235"
"108th Street, North   66109","1135 Road, East   66047","69th Avenue, West   66503","16th Terrace, Southeast   66607","135th Street W, South   67227"
"108th Terrace, North   66109","1135 Road, North   66047","6th Street, North   66502",17th Street   66617,"135th Street W, South   67235"
"109 Terrace, North   66109","1138 Road, North   66047","6th Street, South   66502","17th Street, Northwest   66615","137th Street E, South   67232"
"109th Place, North   66109","1150 Road, East   66047","71st Avenue, West   66503","17th Street, Northwest   66618","13th Ct N, West   67212"
"109th Street, North   66109","1150 Road, East   66049","76th Avenue, West   66503","17th Street, Southeast   66607","13th Street Ct N, West   67212"
"109th Street, North   66109","1150 Road, North   66046","88th Avenue, West   66503","17th Street, Southeast   66612","13th Street N, East   67206"
109th Terrace   66109,"1150 Road, North   66047","8th Street, North   66502","17th Street, Southwest   66604","13th Street N, East   67208"
"109th Terrace, North   66109","1156 Road, North   66047","8th Street, South   66502","17th Street, Southwest   66612","13th Street N, East   67214"
"10th Street, North   66102","1157 Road, East   66047",9200 Road N   66503,"17th Street, Southwest   66615","13th Street N, East   67230"
"10th Street, North   66102","1167 Road, East   66047","9th Street, North   66502","17th Terrace, Southwest   66604","13th Street N, West   67203"
"10th Street, North   66104","1169 Road, East   66047","9th Street, South   66502","17th Terrace, Southwest   66615","13th Street N, West   67212"
"10th Street, North   66104","1172 Road, North   66047",Abbey Circle   66503,"18th Street, Northwest   66618","13th Street N, West   67235"
"10th Street, South   66102","1172nd Road, North   66047",Abbott Circle   66503,"18th Street, Southeast   66607","143rd Street E, North   67226"
"10th Street, South   66103","1175 Road, North   66046",Abbott Drive   66502,"18th Street, Southeast   66612","143rd Street E, North   67228"
"10th Street, South   66103","1180 Road, North   66047",Acorn Lane   66502,"18th Street, Southwest   66604","143rd Street E, North   67230"
"10th Street, South   66105","1190 Road, North   66047",Ada Lane   66503,"18th Street, Southwest   66612","143rd Street E, South   67230"
"10th Terrace, South   66103","11th Place, West   66049",Adams Street   66502,"18th Street, Southwest   66615","143rd Street E, South   67232"
"11 Terrace, South   66103","11th Street, East   66044",Ady Drive   66503,"18th Terrace, Southeast   66607",143rd Street W   67227
"110 Terrace, North   66109","11th Street, East   66046",Airport Road   66503,"18th Terrace, Southwest   66604","143rd Street W, South   67227"
110th Street   66109,"11th Street, West   66044","Airport Road, South   66503","19th Lane, Southwest   66615","143rd Street, South   67230"
"110th Street, North   66109","1200 Road, East   66044",Akin Road   66502,"19th Street, Southeast   66607","145th Court, South   67232"
"110th Street, North   66109","1200 Road, East   66047",Alabama Lane   66502,"19th Street, Southwest   66604","145th Street E, South   67232"
"110th Street, North   66111","1200 Road, East   66049",Alecia Drive   66502,"19th Street, Southwest   66612","14th Circle N, West   67212"
"110th Street, North   66111","1200 Road, North   66047",Allen Road   66502,"19th Street, Southwest   66615","14th Ct N, West   67212"
"110th Street, South   66111","1200 Road, North   66049",Allison Avenue   66502,"19th Terrace, Southwest   66604",14th Street Court   67212
"110th Street, South   66111","1200th Road, North   66046",Alta Drive   66502,"19th Terrace, Southwest   66615","14th Street N, East   67206"
"110th Terrace, North   66109","1217 Road, East   66047",Amherst Avenue   66503,"1st Avenue, West   66603","14th Street N, East   67208"
"111 Terrace, North   66109","1250 Road, East   66044",Amy Lane   66503,"1st Avenue, West   66606","14th Street N, East   67214"
"111st Street, North   66109","1250 Road, East   66046",Anderson Avenue   66502,"1st Street, Northwest   66618","14th Street N, West   67203"
"111th Court, North   66109","1250 Road, East   66047",Anderson Avenue   66503,"1st Street, Southeast   66603","14th Street N, West   67212"
111th Street   66109,"1250 Road, North   66046",Applewood Drive   66503,"1st Street, Southeast   66607","14th Street N, West   67235"
"111th Street, North   66109","1250 Road, North   66047",Arbor Drive   66503,"1st Street, Southeast   66616","14th Street, West   67203"
"111th Terrace, North   66109","1256 Road, East   66047",Arrowhead Drive   66503,"1st Street, West   66615","151st Street W, South   67227"
"112 Court, North   66109","1259 Road, East   66047",Arthur Drive   66502,"20th Street, Southeast   66607","154th Street E, South   67232"
"112 Terrace, North   66109","1264 Road, East   66047",Ashwood Circle   66502,"20th Street, Southeast   66612","159th Street E, North   67226"
"112nd Street, North   66109","1279 Road, East   66047",Aspen Way   66503,"20th Street, Southwest   66604","159th Street E, North   67228"
"112th Court, North   66109","1284 Road, East   66047",Badger Road   66502,"20th Street, Southwest   66612","159th Street E, North   67230"
"112th Street, North   66109","1289 Road, East   66047",Baehr Place   66503,"20th Terrace, Southwest   66604","159th Street E, South   67230"
"112th Terrace, North   66109","1292 Road, East   66047",Bailey Drive   66502,21st Street   66617,"159th Street E, South   67232"
"113 Court, North   66109","1292nd Road, East   66047",Bakers Way   66502,"21st Street, Northwest   66618",15th Street   67207
"113rd Street, North   66109","1293 Road, North   66046",Bald Eagle Drive   66502,"21st Street, Southeast   66607",15th Street   67211
"113th Court, North   66109","1293rd Road, North   66046",Baltimore Terrace   66502,"21st Street, Southeast   66612",15th Street   67218
"113th Street, North   66109","1296 Road, East   66047",Bamblewood Drive   66503,"21st Street, Southwest   66604",15th Street   67230
"113th Terrace, North   66109","12th Street, East   66044",Barbara Court   66503,"21st Street, Southwest   66612","15th Street N, East   67206"
114th Street   66109,"12th Street, West   66044",Barbara Lane   66503,"21st Street, Southwest   66614","15th Street N, East   67208"
"114th Street, North   66109","12th Street, West   66049",Barnes Road   66502,"21st Street, Southwest   66615","15th Street N, East   67214"
"114th Street, North   66109","1300 Road, East   66044",Barrington Court   66503,21st Terrace   66614,"15th Street N, West   67203"
"114th Terrace, North   66109","1300 Road, East   66046",Barrington Drive   66503,"21st Terrace, Southeast   66605","15th Street N, West   67212"
"115th Street, North   66109","1300 Road, East   66049",Bayers Hill Drive   66502,"21st Terrace, Southwest   66614","16th Street Ct N, West   67212"
"118th Street, North   66109","1300 Road, North   66046",Bayview Circle   66503,"22nd Court, Southwest   66614","16th Street N, East   67206"
"118th Street, North   66109","1300 Road, North   66047",Bechtel Road   66502,"22nd Park, Southwest   66611","16th Street N, East   67208"
"118th Street, North   66111","1304 Road, East   66046",Beck Street   66502,"22nd Park, Southwest   66614","16th Street N, East   67214"
"118th Street, South   66111","1310 Road, East   66044",Bee Flight Circle   66502,"22nd Place, Southwest   66614","16th Street N, West   67203"
"118th Terrace, North   66109","1311 Road, East   66046",Beechwood Circle   66502,"22nd Street, Southeast   66605","16th Street N, West   67212"
119th Street   66109,"1318 Road, East   66044",Beechwood Terrace   66502,"22nd Street, Southwest   66611","17th Court, West   67212"
"119th Street, North   66109","1320 Road, North   66046",Bellehaven Road   66502,"22nd Street, Southwest   66614","17th Ct N, West   67212"
"11st Street, North   66102","1326 Road, East   66044",Bent Tree Drive   66502,22nd Terrace   66614,"17th Street Ct N, West   67212"
"11st Street, North   66104","1326 Road, East   66046",Bentwood Drive   66502,"22nd Terrace, Southeast   66605","17th Street N, East   67206"
"11st Street, South   66102","1338 Road, East   66044",Berkshire Circle   66503,"22nd Terrace, Southwest   66614","17th Street N, East   67208"
"11st Street, South   66103","1338 Road, East   66046",Bermuda Lane   66503,"22nd Terrace, Southwest   66615","17th Street N, East   67214"
"11st Street, South   66105","1348 Road, North   66046",Bertrand Street   66502,23rd Court   66614,"17th Street N, West   67203"
"11th Place, South   66103","1350 Road, East   66044",Bethany   66503,"23rd Court, Southwest   66614","17th Street N, West   67212"
11th Street   66111,"1350 Road, North   66047",Bethany Circle   66503,"23rd Park, Southwest   66611","18th Street Ct N, West   67212"
"11th Street, North   66102","1360 Road, North   66046",Bethany Drive   66503,"23rd Street Park, Southwest   66611","18th Street N, East   67206"
"11th Street, North   66104","1368 Road, East   66046",Big Horn Lane   66503,"23rd Street, Southeast   66605","18th Street N, East   67214"
"11th Street, South   66102","1375 Road, East   66046",Bigfoot Street   66503,"23rd Street, Southwest   66611","18th Street N, West   67203"
"11th Street, South   66103","1382 Road, East   66046",Birch Court   66503,"23rd Street, Southwest   66614","18th Street N, West   67212"
"11th Street, South   66105","13th Court, West   66049",Blaker Drive   66502,"23rd Terrace, Southeast   66605","19th Circle N, West   67212"
"11th Terrace, South   66103",13th Street   66044,Blakewood Place   66502,"23rd Terrace, Southwest   66614","19th Ct N, East   67206"
"12 Terrace, South   66103","13th Street, East   66044",Blandin Lane   66502,"24th Court, Southwest   66614","19th Street N, East   67206"
"121 Terrace, North   66109","13th Street, West   66044",Blue Hill Lane   66502,"24th Street, Northwest   66608","19th Street N, East   67208"
121st Street   66111,"13th Street, West   66049",Blue Hills Road   66502,"24th Street, Northwest   66618","19th Street N, East   67214"
"121st Street, North   66109","1400 Road, East   66044",Blue Jay Lane   66502,"24th Street, Southeast   66605","19th Street N, West   67203"
"121st Terrace, North   66109","1400 Road, East   66046",Blue Mesa Road   66502,"24th Street, Southwest   66611","19th Street N, West   67212"
"122 Terrace, North   66109","1400 Road, North   66046",Blue Ridge Court   66503,"24th Street, Southwest   66614","19th Street N, West   67235"
122nd Street   66109,"1402 Road, North   66049",Blue Ridge Road   66503,"24th Terrace, Southeast   66605","1st Ct N, West   67212"
"122nd Street, North   66109","1415 Road, North   66046",Blue River Hills Road   66503,"24th Terrace, Southwest   66614","1st Street Ct N, West   67203"
"122nd Street, North   66109","1415 Road, North   66049",Blue River Road   66502,"25th Court, Southwest   66614","1st Street Ct N, West   67212"
"122nd Terrace, North   66109","1450 Road, East   66044",Blue Spruce Lane   66503,"25th Drive, Southwest   66611","1st Street N, East   67202"
"123 Terrace, North   66109","1450 Road, East   66046",Blueberry Drive   66502,"25th Street, Northwest   66618","1st Street N, East   67206"
123rd Street   66109,"1450 Road, North   66049",Bluehills Road   66502,"25th Street, Southeast   66605","1st Street N, East   67208"
"123rd Street, North   66109","1452 Road, East   66046",Blueline Circle   66502,"25th Street, Southwest   66611","1st Street N, East   67214"
"123rd Terrace, North   66109","1452 Road, North   66049",Bluemont Avenue   66502,"25th Street, Southwest   66614","1st Street N, West   67202"
"124 Terrace, North   66109","1452nd Road, East   66046",Bluemont Circle   66502,"25th Terrace, Southeast   66605","1st Street N, West   67203"
"124th Court, North   66109","1452nd Road, North   66049",Bluemont Scenic Drive   66502,"25th Terrace, Southwest   66614","1st Street N, West   67212"
"124th Street, North   66109","1457 Road, North   66049",Bluestem Terrace   66502,"26th Court, Southwest   66614","20th Street Circle N, West   67212"
"124th Terrace, North   66109","1464 Road, North   66049",Bobwhite Drive   66502,"26th Drive, Southwest   66611","20th Street Ct N, West   67212"
"125th Circle, North   66109","1474 Road, North   66049",Boston Circle   66503,"26th Street, Southeast   66605","20th Street N, East   67208"
125th Street   66109,"1479 Road, East   66046",Bowman Drive   66503,"26th Street, Southwest   66611","20th Street N, East   67214"
"125th Street, North   66109","1483 Road, North   66049",Brad Lane   66502,"26th Street, Southwest   66614","20th Street N, West   67203"
"125th Street, North   66109","1483rd Road, North   66049",Bradford Terrace   66503,"26th Terrace, Southeast   66605","20th Street N, West   67212"
"125th Terrace, North   66109","1485 Road, East   66046",Brenda Court   66503,"26th Terrace, Southwest   66614","20th Street, Northeast   67205"
126th Street   66109,"1495 Road, North   66049",Brian Place   66503,"27 Place, Southeast   66605","21st Ct N, East   67226"
"126th Street, North   66109","14th Court, West   66049",Briar Circle   66503,"27th Court, Southeast   66605","21st Street N, East   67206"
"126th Street, North   66109","14th Street, East   66044",Briar Lane   66503,"27th Court, Southwest   66614","21st Street N, East   67208"
"127th Street, North   66109","14th Street, West   66044",Briaroak Road   66503,27th Street   66617,"21st Street N, East   67214"
127th Terrace   66109,"14th Street, West   66049",Bridgewood Court   66502,"27th Street, Southeast   66605","21st Street N, East   67230"
"128th Court, North   66109","14th Terrace, West   66049",Bridle Road   66503,"27th Street, Southwest   66611","21st Street N, West   67203"
"128th Street, North   66109","150 Road, East   66044",Brierwood Court   66502,"27th Street, Southwest   66614","21st Street N, West   67205"
"128th Terrace, North   66109",1500 Road   66049,Brierwood Drive   66502,"27th Terrace, Southeast   66605","21st Street N, West   67212"
"129th Street, North   66109","1500 Road, East   66044",Brighton Road   66503,"27th Terrace, Southwest   66611","21st Street N, West   67235"
"12nd Street, North   66102","1500 Road, East   66046",Brittany Terrace   66502,"27th Terrace, Southwest   66614","22nd Street N, East   67219"
"12nd Street, North   66104","1500 Road, North   66046",Brockman Circle   66502,"28th Court, Southeast   66605","22nd Street N, East   67220"
"12nd Street, South   66102","1500 Road, North   66049",Brockman Street   66502,"28th Court, Southwest   66614","22nd Street N, East   67226"
"12nd Street, South   66103","1500th Road, East   66044",Brook Lane   66502,"28th Street, Southeast   66605","22nd Street N, East   67228"
"12nd Street, South   66105","1505 Road, North   66049",Brookes Court   66502,"28th Street, Southwest   66611","22nd Street N, West   67204"
"12th Street, North   66102","1517 Road, East   66044",Brookes Way   66502,"28th Street, Southwest   66614","23rd Circle N, West   67206"
"12th Street, North   66104","1532 Road, North   66049",Brookfield Drive   66503,"28th Terrace, Southeast   66605","23rd Street N, East   67219"
"12th Street, South   66102","1532nd Road, North   66049","Brookglen Circle, North   66502","28th Terrace, Southwest   66611","23rd Street N, East   67220"
"12th Street, South   66103","1549 Road, East   66046",Brookhaven Drive   66502,"28th Terrace, Southwest   66614","23rd Street N, West   67204"
"12th Street, South   66105","1549 Road, North   66049",Brookhollow Court   66503,"29th Street, Southeast   66605","23rd Street N, West   67205"
"12th Terrace, South   66103","1550 Road, East   66044",Brooklawn Court   66502,"29th Street, Southwest   66610","23rd Street N, West   67223"
"13 Terrace, South   66103","1550 Road, East   66046",Brooklawn Drive   66502,"29th Street, Southwest   66611",23rd Street S   67209
"130th Drive, North   66109","1550 Road, North   66046",Brookmont Drive   66502,"29th Street, Southwest   66614","23rd Street S, East   67213"
130th Street   66109,"1550th Road, North   66049",Brookpark Drive   66502,"29th Terrace, Southeast   66605","23rd Street S, West   67235"
"130th Street, North   66109","1581 Road, North   66049",Brookpointe Circle   66502,"29th Terrace, Southwest   66611",24th Ct N   67228
"130th Street, North   66109","1581st Road, North   66049",Brookridge Drive   66502,"29th Terrace, Southwest   66614",24th Street   67228
"131st Drive, North   66109","1584 Road, East   66046",Brookstone Circle   66502,"2nd Street, East   66615","24th Street Ct N, East   67226"
"131st Street, North   66109","1587 Road, East   66046",Brookstone Drive   66502,"2nd Street, Southeast   66603",24th Street N   67228
"131st Terrace, North   66109","15th Place, East   66044",Brookvalley Drive   66502,"2nd Street, Southeast   66607","24th Street N, East   67219"
"132nd Street, North   66109","15th Street, East   66044",Brookville Circle   66502,"2nd Street, Southwest   66603","24th Street N, East   67220"
"132nd Terrace, North   66109","15th Street, East   66046",Brookville Drive   66502,"2nd Street, Southwest   66606","24th Street N, East   67226"
"133rd Street, North   66109","15th Street, West   66044",Brookville West Drive   66502,"2nd Street, West   66615","24th Street N, West   67204"
"133rd Terrace, North   66109","15th Street, West   66049",Brookway Drive   66502,"2nd Terrace, East   66607","24th Street N, West   67205"
"134th Street, North   66109","1600 Road, East   66044",Brookwood Circle   66502,"30th Park, Southeast   66605","24th Street, North   67204"
"136th Street, South   66111","1600 Road, East   66046",Browning Avenue   66502,"30th Street, Southeast   66605","24th Street, South   67217"
"137th Street, South   66111","1600 Road, North   66044",Brush Creek Lane   66503,"30th Street, Southwest   66611","25th Street Ct N, East   67226"
"138th Street, North   66109","1600 Road, North   66049",Buckingham Street   66503,"30th Street, Southwest   66614","25th Street N, East   67219"
139th Street   66109,"1602 Road, North   66049",Buena Vista Drive   66502,30th Terrace   66605,"25th Street N, East   67220"
"139th Street, North   66109","1602nd Road, North   66049",Buffalo Road   66503,"30th Terrace, Southeast   66605","25th Street N, East   67226"
"13rd Street, North   66102","1610 Road, North   66049",Burton Place   66503,"30th Terrace, Southwest   66614","25th Street N, West   67204"
"13rd Street, North   66104","1620 Road, North   66044",Butterfield Road   66502,"31st Court, Southwest   66614","25th Street N, West   67205"
"13rd Street, South   66102","1624 Road, North   66049","Butterfield Road, East   66502",31st Street   66617,"25th Street S, West   67217"
"13rd Street, South   66103","1650 Road, East   66046",Butterfly Lane   66502,"31st Street, Northeast   66617","26th Street Ct N, East   67226"
"13rd Street, South   66105","1650 Road, North   66044",Butternut Lane   66502,"31st Street, Southeast   66605","26th Street N, East   67219"
"13th Street, North   66102","1663 Road, North   66049",Buttonwood Drive   66502,"31st Street, Southeast   66611","26th Street N, East   67220"
"13th Street, North   66104","1663rd Road, North   66049",Caitlin Drive   66502,"31st Street, Southwest   66611","26th Street N, East   67226"
"13th Street, South   66102",1675 Road   66044,Cambridge Place   66502,"31st Street, Southwest   66614","26th Street N, West   67204"
"13th Street, South   66103","1675 Road, East   66044",Campus Creek Road   66506,"31st Terrace, Southwest   66611","26th Street S, West   67217"
"13th Street, South   66105",16th Street   66044,Campus Road   66502,"31st Terrace, Southwest   66614","27th Circle N, East   67226"
"13th Street, Southwest   66115","16th Street, East   66044",Canary Lane   66502,"32nd Place, Southeast   66605","27th Ct N, East   67220"
"13th Terrace, South   66103","16th Street, West   66044",Candle Crest Circle   66503,"32nd Street, Northwest   66618","27th Street Ct N, East   67220"
"14th Street, North   66102","1700 Road, East   66044",Candlecrest Circle   66503,"32nd Street, Southeast   66605","27th Street N, East   67219"
"14th Street, North   66104","1700 Road, East   66046",Candlewood Drive   66503,"32nd Street, Southwest   66611","27th Street N, East   67220"
"14th Street, South   66101","1700 Road, North   66044",Canfield Drive   66502,"32nd Street, Southwest   66614","27th Street N, East   67226"
"14th Street, South   66102","1700 Road, North   66049",Canterbury Street   66503,"32nd Terrace, Southeast   66605","27th Street N, West   67204"
"14th Street, South   66103","1700th Road, North   66049",Canyon Circle   66503,"32nd Terrace, Southwest   66611","27th Street S, East   67216"
"14th Street, South   66103","1708 Road, North   66044",Canyon Drive   66502,"32nd Terrace, Southwest   66614","27th Street S, West   67217"
"14th Street, South   66105","1710 Road, North   66049",Canyon Road   66503,"33rd Circle, Southwest   66614","28th Street N, East   67219"
"15 Lane, South   66103","1712 Road, North   66049","Canyon Road, South   66502","33rd Court, Southwest   66614","28th Street N, East   67220"
"15th Lane, South   66103","1723 Road, North   66049",Cara's Way   66502,"33rd Place, Northwest   66618","28th Street N, West   67204"
"15th Street, North   66102","1723rd Road, North   66049",Cardinal Lane   66502,"33rd Street, Northwest   66618","28th Street N, West   67205"
"15th Street, North   66104","1732 Road, North   66044",Cardinal Road   66503,"33rd Street, Southeast   66605","28th Street, East   67220"
"15th Street, South   66102","1735 Road, North   66049",Carlisle Terrace   66503,"33rd Street, Southwest   66611","28th Street, West   67205"
"15th Street, South   66103","1737 Road, North   66049",Carlson Drive   66502,"33rd Street, Southwest   66614","29th Circle S, West   67215"
"15th Street, South   66105","1748 Road, North   66044",Carol Renee Court   66502,33rd Terrace   66605,"29th Circle S, West   67217"
16th Street   66103,"1750 Road, East   66046",Carolyn Road   66502,"33rd Terrace, Northwest   66618","29th Street N, East   67219"
"16th Street, North   66102","1750 Road, North   66044",Casement Road   66502,"33rd Terrace, Southeast   66605","29th Street N, East   67220"
